county,age,count
Audubon,61-80,1
Benton,41-60,1
Benton,61-80,1
Benton,81+,1
Cedar,61-80,1
Cerro Gordo,41-60,1
Clinton,41-60,1
Crawford,61-80,1
Dallas,18-40,3
Dallas,61-80,1
Dubuque,41-60,3
Dubuque,61-80,2
Guthrie,41-60,1
Iowa,61-80,1
Jackson,18-40,1
Jasper,81+,1
Johnson,41-60,2
Johnson,61-80,3
Jones,18-40,1
Linn,18-40,9
Linn,41-60,8
Linn,61-80,6
Linn,81+,6
Monona,0-17,1
Monona,18-40,1
Monona,61-80,1
Muscatine,41-60,1
Muscatine,61-80,2
Polk,0-17,2
Polk,18-40,2
Polk,41-60,6
Polk,61-80,1
Scott,18-40,1
Scott,41-60,2
Scott,61-80,3
Shelby,18-40,1
Shelby,61-80,1
Tama,18-40,1
Van Buren,61-80,1
Washington,18-40,1
Washington,41-60,3
Washington,61-80,1
