county,age,count
Allamakee,18-40,1
Benton,41-60,1
Cedar,41-60,1
Cerro Gordo,61-80,2
Chickasaw,18-40,1
Clinton,61-80,1
Crawford,41-60,1
Dubuque,41-60,1
Franklin,41-60,1
Henry,18-40,1
Jackson,41-60,1
Johnson,18-40,5
Johnson,41-60,6
Johnson,61-80,1
Linn,18-40,5
Linn,41-60,6
Linn,61-80,2
Linn,81+,1
Louisa,41-60,1
Marion,61-80,1
Marshall,18-40,1
Marshall,61-80,1
Muscatine,18-40,5
Muscatine,41-60,2
Muscatine,61-80,1
Page,41-60,1
Polk,41-60,1
Polk,61-80,2
Pottawattamie,18-40,1
Scott,18-40,2
Scott,41-60,7
Scott,61-80,1
Scott,81+,1
Tama,18-40,1
Tama,41-60,1
Tama,61-80,1
Tama,81+,3
Wapello,18-40,1
Warren,18-40,1
Washington,18-40,1
Washington,41-60,1
Washington,61-80,1
Winnebago,41-60,1
