county,age,count
Benton,61-80,1
Black Hawk,0-17,1
Black Hawk,18-40,1
Black Hawk,41-60,2
Black Hawk,61-80,1
Black Hawk,81+,1
Buchanan,18-40,1
Clinton,18-40,1
Des Moines,41-60,1
Dubuque,18-40,1
Dubuque,41-60,2
Jasper,41-60,1
Johnson,18-40,1
Johnson,41-60,7
Linn,18-40,2
Linn,41-60,3
Linn,61-80,2
Linn,81+,1
Louisa,18-40,1
Louisa,41-60,5
Lyon,18-40,1
Marshall,41-60,3
Muscatine,41-60,4
Muscatine,61-80,2
Osceola,18-40,1
Polk,18-40,6
Polk,41-60,3
Polk,61-80,3
Polk,81+,2
Scott,41-60,3
Scott,61-80,1
Tama,18-40,2
Tama,41-60,6
Tama,61-80,1
Warren,41-60,1
Washingto,41-60,2
