county,age,count
Allamakee,18-40,1
Allamakee,61-80,1
Benton,0-17,1
Black Hawk,18-40,1
Black Hawk,41-60,3
Cedar,18-40,3
Cedar,61-80,1
Clinton,18-40,1
Clinton,41-60,1
Crawford,18-40,1
Harrison,18-40,1
Henry,18-40,2
Johnson,18-40,10
Johnson,41-60,1
Johnson,61-80,2
Linn,0-17,1
Linn,18-40,4
Linn,41-60,1
Linn,61-80,3
Linn,81+,2
Louisa,18-40,4
Louisa,41-60,5
Louisa,61-80,1
Marshall,18-40,1
Muscatine,18-40,4
Muscatine,41-60,5
Muscatine,61-80,1
Polk,18-40,2
Polk,41-60,4
Polk,61-80,1
Pottawattmie,41-60,1
Pottawattmie,61-80,1
Scott,18-40,4
Scott,41-60,7
Scott,61-80,1
Tama,18-40,1
Tama,41-60,1
Tama,61-80,2
Warren,81+,1
Washington,18-40,3
Washington,41-60,1
Washington,61-80,1
Webster,61-80,1
Woodbury,41-60,2
Worth,41-60,1
