county,age,count
Black Hawk,41-60,1
Black Hawk,61-80,1
Bremer,18-40,1
Clinton,18-40,1
Dubuque,41-60,2
Grundy,41-60,1
Howard,18-40,1
Iowa,18-40,1
Jefferson,41-60,1
Johnson,18-40,7
Johnson,41-60,5
Johnson,61-80,1
Keokuk,61-80,1
Lee,61-80,1
Linn,18-40,3
Linn,41-60,9
Linn,61-80,6
Linn,81+,2
Lyon,61-80,1
Mills,41-60,1
Muscatine,18-40,1
Muscatine,41-60,3
Muscatine,81+,1
Plymouth,18-40,2
Polk,18-40,1
Polk,41-60,4
Polk,61-80,4
Pottawattamie,18-40,1
Pottawattamie,41-60,1
Scott,18-40,3
Scott,41-60,2
Scott,81+,2
Sioux,18-40,1
Sioux,41-60,1
Tama,18-40,1
Tama,61-80,2
Tama,81+,4
Warren,81+,1
Washington,18-40,1
Washington,41-60,1
Washington,61-80,2
