county,age,count
Allamakee,41-60,1
Black Hawk,18-40,6
Black Hawk,41-60,7
Black Hawk,61-80,1
Cedar,18-40,1
Clarke,41-60,1
Clayton,18-40,1
Clinton,41-60,2
Clinton,61-80,1
Dubuque,41-60,1
Fayette,41-60,1
Harrison,61-80,1
Henry,18-40,1
Henry,61-80,1
Jasper,18-40,1
Johnson,0-17,1
Johnson,18-40,5
Johnson,41-60,6
Johnson,61-80,2
Linn,18-40,3
Linn,41-60,4
Linn,61-80,2
Linn,81+,1
Louisa,18-40,5
Louisa,41-60,6
Louisa,61-80,3
Marshall,41-60,2
Muscatine,18-40,2
Muscatine,41-60,8
Muscatine,61-80,1
Osceola,41-60,1
Polk,18-40,6
Polk,61-80,1
Pottawattamie,41-60,1
Scott,18-40,3
Scott,41-60,6
Scott,61-80,1
Scott,81+,1
Tama,18-40,4
Tama,41-60,3
Union,61-80,1
Wapello,18-40,1
Warren,18-40,1
Warren,41-60,1
Washington,18-40,2
Washington,41-60,2
Washington,61-80,1
Winebago,18-40,1
Woodbury,41-60,3
