county,age,count
Allamakee,0-17,1
Allamakee,18-40,2
Allamakee,41-60,4
Allamakee,61-80,1
Black Hawk,41-60,1
Boone,41-60,1
Bremer,41-60,1
Buchanan,18-40,1
Cedar,18-40,1
Cedar,41-60,1
Cerro Gordo,41-60,2
Clay,41-60,1
Clinton,18-40,2
Clinton,61-80,1
Dallas,18-40,1
Dallas,41-60,3
Jefferson,18-40,1
Johnson,18-40,1
Johnson,41-60,3
Jones,41-60,1
Linn,18-40,3
Linn,41-60,4
Linn,61-80,2
Linn,81+,1
Mahaska,41-60,1
Marshall,41-60,1
Muscatine,18-40,1
Polk,18-40,2
Polk,41-60,1
Polk,61-80,3
Poweshiek,41-60,1
Scott,41-60,3
Scott,61-80,1
Tama,18-40,2
Tama,41-60,1
Van Buren,61-80,1
Warren,18-40,1
Warren,41-60,1
Washington,18-40,1
Washington,61-80,1
Winneshiek,61-80,1
Woodbury,18-40,2
Woodbury,41-60,1
,,
