county,age,confirmed,deaths
Hamilton,Older Adult,1,0
Hamilton,Elderly,0,0
Hancock,Child,0,0
Hancock,Adult,0,0
Hancock,Middle Age,1,0
Hancock,Older Adult,2,0
Hancock,Elderly,0,0
Hardin,Child,0,0
Hardin,Adult,0,0
Hardin,Middle Age,1,0
Hardin,Older Adult,0,0
Hardin,Elderly,0,0
Harrison,Child,0,0
Harrison,Adult,1,0
Harrison,Middle Age,3,0
Harrison,Older Adult,8,0
Harrison,Elderly,0,0
Henry,Child,1,0
Henry,Adult,9,0
Henry,Middle Age,4,1
Henry,Older Adult,5,0
Henry,Elderly,3,0
Howard,Child,0,0
Howard,Adult,1,0
Howard,Middle Age,0,0
Howard,Older Adult,0,0
Howard,Elderly,0,0
Humboldt,Child,0,0
Humboldt,Adult,0,0
Humboldt,Middle Age,0,0
Humboldt,Older Adult,0,0
Humboldt,Elderly,0,0
Ida,Child,0,0
Ida,Adult,0,0
Ida,Middle Age,0,0
Ida,Older Adult,0,0
Ida,Elderly,0,0
Iowa,Child,0,0
Iowa,Adult,4,0
Iowa,Middle Age,2,0
Iowa,Older Adult,1,0
Iowa,Elderly,0,0
Jackson,Child,0,0
Jackson,Adult,1,0
Jackson,Middle Age,2,0
Jackson,Older Adult,1,0
Jackson,Elderly,0,0
Jasper,Child,0,0
Jasper,Adult,4,0
Jasper,Middle Age,7,0
Jasper,Older Adult,3,0
Jasper,Elderly,3,0
Jefferson,Child,0,0
Jefferson,Adult,2,0
Jefferson,Middle Age,2,0
Jefferson,Older Adult,0,0
Jefferson,Elderly,0,0
Johnson,Child,1,0
Johnson,Adult,97,0
Johnson,Middle Age,84,0
Johnson,Older Adult,42,2
Johnson,Elderly,2,1
Jones,Child,0,0
Jones,Adult,4,0
Jones,Middle Age,6,0
Jones,Older Adult,1,0
Jones,Elderly,0,0
Keokuk,Child,0,0
Keokuk,Adult,1,0
Keokuk,Middle Age,0,0
Keokuk,Older Adult,1,0
Keokuk,Elderly,0,0
Kossuth,Child,0,0
Kossuth,Adult,1,0
Kossuth,Middle Age,0,0
Kossuth,Older Adult,0,0
Kossuth,Elderly,0,0
Lee,Child,0,0
Lee,Adult,0,0
Lee,Middle Age,0,0
Lee,Older Adult,2,0
Lee,Elderly,0,0
Linn,Child,2,0
Linn,Adult,75,0
Linn,Middle Age,93,1
Linn,Older Adult,74,10
Linn,Elderly,32,10
Louisa,Child,0,0
Louisa,Adult,71,0
Louisa,Middle Age,71,0
Louisa,Older Adult,19,0
Louisa,Elderly,5,0
Lucas,Child,0,0
Lucas,Adult,0,0
Lucas,Middle Age,0,0
Lucas,Older Adult,0,0
Lucas,Elderly,0,0
Lyon,Child,0,0
Lyon,Adult,2,0
Lyon,Middle Age,1,0
Lyon,Older Adult,1,0
