county,age,count
Allamakee,61-80,1
Benton,41-60,1
Black Hawk,18-40,3
Black Hawk,61-80,3
Bremer,81+,1
Buena Vista,41-60,1
Clayton,18-40,1
Clinton,41-60,4
Dallas,41-60,1
Delaware,61-80,1
Henry,41-60,1
Henry,61-80,1
Jefferson,41-60,1
Johnson,18-40,7
Johnson,41-60,2
Linn,18-40,2
Linn,41-60,3
Linn,61-80,4
Linn,81+,1
Louisa,18-40,4
Louisa,41-60,9
Louisa,61-80,1
Madison,61-80,1
Marion,18-40,1
Marshall,18-40,7
Marshall,41-60,1
Muscatine,18-40,8
Muscatine,41-60,1
Muscatine,61-80,2
Polk,18-40,9
Polk,41-60,2
Polk,61-80,5
Scott,18-40,1
Scott,41-60,5
Scott,61-80,6
Tama,18-40,3
Tama,41-60,3
Tama,61-80,1
Wapello,41-60,1
Washington,18-40,2
Washington,41-60,6
Washington,61-80,1
Woodbury,41-60,3
