county,age,count
Black Hawk,41-60,1
Cedar,4-60,1
Clay,18-40,1
Clinton,41-60,2
Clinton,61-80,1
Dallas,18-40,4
Harrison,41-60,1
Iowa,41-60,1
Jasper,81+,1
Johnson,18-40,2
Johnson,41-60,1
Jones,18-40,2
Jones,41-60,1
Keokuk,18-40,1
Linn,18-40,3
Linn,41-60,7
Linn,61-80,7
Linn,81+,2
Marshall,18-40,1
Marshall,61-80,1
Muscatine,41-60,2
Muscatine,61-80,1
Polk,0-17,1
Polk,18-40,5
Polk,41-60,3
Polk,61-80,4
Polk,81+,2
Pottawattamie,41-60,1
Scott,41-60,2
Sioux,41-60,1
Sioux,61-80,1
Tama,18-40,1
Warren,41-60,2
Washington,18-40,3
Washington,61-80,2
Washington,81+,1
,,
,,
,,
,,
