county,age,count
Benton,18-40,1
Benton,41-60,2
Black Hawk,18-40,1
Black Hawk,41-60,1
Boone,41-60,1
Buchanan,41-60,1
Cedar,41-60,1
Cerro Gordo,41-60,1
Chickasaw,41-60,1
Clinton,0-17,1
Clinton,61-80,1
Dallas,41-60,1
Dubuque,18-40,1
Dubuque,41-60,2
Iowa,18-40,1
Jasper,41-60,1
Johnson,18-40,8
Johnson,41-60,12
Johnson,61-80,4
Jones,41-60,2
Linn,0-17,1
Linn,18-40,7
Linn,41-60,6
Linn,61-80,3
Linn,81+,1
Louisa,18-40,4
Louisa,41-60,6
Louisa,81+,1
Marshall,18-40,1
Marshall,41-60,1
Marshall,61-80,1
Muscatine,18-40,1
Muscatine,41-60,6
Muscatine,61-80,1
Muscatine,81+,1
Polk,18-40,2
Polk,41-60,3
Polk,61-80,1
Scott,0-17,1
Scott,18-40,6
Scott,41-60,2
Scott,61-80,2
Story,41-60,1
Tama,18-40,3
Tama,41-60,9
Tama,61-80,3
Tama,81+,2
Washington,41-60,2
Washington,81+,1
Winneshiek,41-60,1
Wodbury,18-40,1
